votes,margin2020,fips,results_trumpd,results_bidenj
3908,62.89662,29203,3164,706
3355,62.80179,29205,2699,592
222175,17.48487,29183,128193,89346
4972,59.17136,29185,3930,988
27996,48.08544,29187,20506,7044
131765,-66.17842,29510,21185,108385
528075,-23.85911,29189,196808,322802
9495,41.2217,29186,6627,2713
13410,71.93139,29207,11460,1814
18378,61.10567,29209,14716,3486
2471,60.54229,29211,1974,478
26240,57.54954,29213,20426,5325
11332,68.49629,29215,9478,1716
9164,57.10388,29217,7135,1902
18373,46.00773,29219,13222,4769
9971,62.60154,29221,8046,1804
5874,70.48008,29223,4984,844
18776,60.19386,29225,14874,3572
1107,59.80126,29227,877,215
8737,71.93545,29229,7452,1167
86091,8.39925,37001,46056,38825
20236,58.03024,37003,15888,4145
6076,50.04937,37005,4527,1486
11194,-4.18081,37007,5321,5789
15814,46.07942,37009,11451,4164
9458,52.66441,37011,7172,2191
26315,25.85598,37013,16437,9633
9815,-21.61997,37015,3817,5939
17125,13.72263,37017,9676,7326
90175,24.99584,37019,55850,33310
161569,-21.10739,37021,62412,96515
44602,40.13497,37023,31019,13118
117227,9.44748,37025,63237,52162
42829,51.07287,37027,32119,10245
5953,46.61515,37029,4312,1537
42695,42.00726,37031,30028,12093
12051,18.49639,37033,7089,4860
83425,37.03806,37035,56588,25689
48599,-11.52493,37037,21186,26787
16423,55.0752,37039,12628,3583
7784,15.72456,37041,4471,3247
6893,49.514,37043,5112,1699
51308,32.82724,37045,33798,16955
26446,27.92861,37047,16832,9446
53065,18.62621,37049,31032,21148
147150,-16.60686,37051,60032,84469
16147,46.21292,37053,11657,4195
24232,16.51535,37055,13938,9936
88514,47.47498,37057,64658,22636
25311,45.49405,37059,18228,6713
22715,22.12635,37061,13793,8767
179914,-62.37925,37063,32459,144688
25477,-27.01652,37065,9206,16089
201262,-13.89681,37067,85060,113029
37357,13.44326,37069,20904,15882
115498,27.77018,37071,73033,40959
